Subject,Subject URI,Predicate,Predicate URI,Object,Object URI
AmperePerJoule,https://w3id.org/emmo#AmperePerJoule,EMMO_967080e5_2f42_4eb2_a3a9_c58143e835f9,https://w3id.org/emmo#EMMO_967080e5_2f42_4eb2_a3a9_c58143e835f9,"The inverse measure of joule-per-ampere or weber. The measure for the reciprical of magnetic flux.

-- QUDT","The inverse measure of joule-per-ampere or weber. The measure for the reciprical of magnetic flux.

-- QUDT"
AmperePerJoule,https://w3id.org/emmo#AmperePerJoule,EMMO_7f1dec83_d85e_4e1b_b7bd_c9442d4f5a64,https://w3id.org/emmo#EMMO_7f1dec83_d85e_4e1b_b7bd_c9442d4f5a64,J,A/J
Blank Node,Blank Node,type,Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
Blank Node,Blank Node,hasValue,0.0,http://www.w3.org/2002/07/owl#hasValue,0.0
Blank Node,Blank Node,onProperty,EMMO_d088a3cb_d3e3_4eb2_9897_00aef0cb00cd,http://www.w3.org/2002/07/owl#onProperty,https://w3id.org/emmo#EMMO_d088a3cb_d3e3_4eb2_9897_00aef0cb00cd
Blank Node,Blank Node,type,Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
Blank Node,Blank Node,hasValue,1.0,http://www.w3.org/2002/07/owl#hasValue,1.0
Blank Node,Blank Node,onProperty,EMMO_8189b42e_0995_423a_a26c_51168b27c3cf,http://www.w3.org/2002/07/owl#onProperty,https://w3id.org/emmo#EMMO_8189b42e_0995_423a_a26c_51168b27c3cf
drug,http://semanticscience.org/resource/Drug,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,Blank Node,Blank Node
drug,http://semanticscience.org/resource/Drug,prefixIRI,http://data.bioontology.org/metadata/prefixIRI,sio:Drug,sio:Drug
drug,http://semanticscience.org/resource/Drug,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Stress,http://materialsmine.org/ns/Stress,definition,http://www.w3.org/2004/02/skos/core#definition,"When a material is loaded with a force, it produces a stress, which then causes a material to deform. ","When a material is loaded with a force, it produces a stress, which then causes a material to deform. "
Stress,http://materialsmine.org/ns/Stress,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
drug,http://semanticscience.org/resource/Drug,description,http://purl.org/dc/terms/description,A drug is a chemical substance that contains one or more active ingredients that regulate one or more biological processes.,A drug is a chemical substance that contains one or more active ingredients that regulate one or more biological processes.
Stress,http://materialsmine.org/ns/Stress,label,http://www.w3.org/2000/01/rdf-schema#label,Stress,Stress
drug,http://semanticscience.org/resource/Drug,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,chemical substance,http://semanticscience.org/resource/ChemicalSubstance
drug,http://semanticscience.org/resource/Drug,label,http://www.w3.org/2000/01/rdf-schema#label,drug,drug
Stress,http://materialsmine.org/ns/Stress,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,Mechanical Property,http://materialsmine.org/ns/MechanicalProperty
Stress,http://materialsmine.org/ns/Stress,prefixIRI,http://data.bioontology.org/metadata/prefixIRI,materialsmine:Stress,materialsmine:Stress
drug,http://semanticscience.org/resource/Drug,isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,sio-subset-labels.owl,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
Blank Node,Blank Node,type,Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
Blank Node,Blank Node,onProperty,has capability,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/hasCapability
Blank Node,Blank Node,someValuesFrom,Blank Node,http://www.w3.org/2002/07/owl#someValuesFrom
Blank Node,Blank Node,type,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
Blank Node,Blank Node,intersectionOf,Blank Node,http://www.w3.org/2002/07/owl#intersectionOf
Blank Node,Blank Node,first,to regulate,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://semanticscience.org/resource/ToRegulate
Blank Node,Blank Node,rest,Blank Node,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest
Blank Node,Blank Node,first,Blank Node,http://www.w3.org/1999/02/22-rdf-syntax-ns#first
Blank Node,Blank Node,type,Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
Blank Node,Blank Node,onProperty,in relation to,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/inRelationTo
Blank Node,Blank Node,someValuesFrom,biological entity,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/BiologicalEntity
Blank Node,Blank Node,rest,nil,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
